2018/07/27 08:52:02 -0700 521 | 1532706722 | 88228 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 08:52:02 -0700 751 | 1532706722 | 35474 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 08:52:02 -0700 988 | 1532706722 | 92676 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 08:52:03 -0700 129 | 1532706723 | 31514 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2018/07/27 08:52:03 -0700 141 | 1532706723 | 31514 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2018/07/27 08:52:03 -0700 143 | 1532706723 | 31514 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 08:52:03 -0700 293 | 1532706723 | 91058 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 08:52:03 -0700 393 | 1532706723 | 71080 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 08:52:03 -0700 506 | 1532706723 | 87121 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 08:52:03 -0700 705 | 1532706723 | 35503 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 08:52:03 -0700 811 | 1532706723 | 71080 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 08:52:03 -0700 901 | 1532706723 | 9329 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 08:52:03 -0700 999 | 1532706723 | 40726 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/27 10:57:10 -0700 089 | 1532714230 | 46607 | GenApps | WARN |  | File: /home/y/share/htdocs/si30d/GenApps/index.php Function: () line: 399 Admin request but invalid credentials: 2
2018/07/27 11:13:29 -0700 471 | 1532715209 | 14413 | GenApps | WARN |  | File: /home/y/share/htdocs/si30d/GenApps/index.php Function: () line: 399 Admin request but invalid credentials: 2
2018/07/27 11:44:03 -0700 995 | 1532717043 | 17673 | GenApps | WARN |  | File: /home/y/share/htdocs/si30d/GenApps/index.php Function: () line: 399 Admin request but invalid credentials: 2
2018/07/28 16:11:15 -0700 656 | 1532819475 | 69185 | GenApps | WARN |  | File: /home/y/share/htdocs/si30d/GenApps/index.php Function: () line: 399 Admin request but invalid credentials: 2
2018/07/28 17:11:37 -0700 676 | 1532823097 | 31228 | GenApps | WARN |  | File: /home/y/share/htdocs/si30d/GenApps/index.php Function: () line: 399 Admin request but invalid credentials: 2
